name,short_name,type_ru,justification,lng,nearest_distance_m,nearest_monument,article,score
Крылатское (гребной канал),Крылатское,спортивный объект,"Интересно как часть городской инфраструктуры и повседневного движения Москвы. До ближайшего монумента — «Усадьба Нарышкиных», около 2.29 км.",37.437222222,2292,Усадьба Нарышкиных,https://ru.wikipedia.org/wiki/%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B0_(%D0%B3%D1%80%D0%B5%D0%B1%D0%BD%D0%BE%D0%B9_%D0%BA%D0%B0%D0%BD%D0%B0%D0%BB),84
Детский сад № 333,Сад 333,историческое здание,"Место для прогулки и передышки от плотной городской застройки. Есть региональный охранный статус. До ближайшего монумента — «Стадион Спартак», около 2.25 км.",37.467172,2253,Стадион Спартак,https://ru.wikipedia.org/wiki/%D0%94%D0%B5%D1%82%D1%81%D0%BA%D0%B8%D0%B9_%D1%81%D0%B0%D0%B4_%E2%84%96_333_(%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B0),84
Хлебозавод № 9,Хлебозавод 9,историческое здание,"Бывший хлебозавод в Бутырском районе Москвы. До ближайшего монумента — «Останкинская башня», около 2.25 км.",37.584444444,2253,Останкинская башня,https://ru.wikipedia.org/wiki/%D0%A5%D0%BB%D0%B5%D0%B1%D0%BE%D0%B7%D0%B0%D0%B2%D0%BE%D0%B4_%E2%84%96_9,84
Российский государственный архив литературы и искусства,Архив литературы искусства,историческое здание,"Можно рассмотреть фрагмент исторической застройки без музейной торжественности. Есть федеральный охранный статус. До ближайшего монумента — «Ерунда», около 2.22 км.",37.488197,2218,Ерунда,https://ru.wikipedia.org/wiki/%D0%A0%D0%BE%D1%81%D1%81%D0%B8%D0%B9%D1%81%D0%BA%D0%B8%D0%B9_%D0%B3%D0%BE%D1%81%D1%83%D0%B4%D0%B0%D1%80%D1%81%D1%82%D0%B2%D0%B5%D0%BD%D0%BD%D1%8B%D0%B9_%D0%B0%D1%80%D1%85%D0%B8%D0%B2_%D0%BB%D0%B8%D1%82%D0%B5%D1%80%D0%B0%D1%82%D1%83%D1%80%D1%8B_%D0%B8_%D0%B8%D1%81%D0%BA%D1%83%D1%81%D1%81%D1%82%D0%B2%D0%B0,84
Лефортово,Лефортово,вокзал / транспортный объект,"Станция МКЖД в Москве, Россия. До ближайшего монумента — «Rabbit with clock», около 2.21 км.",37.74565,2206,Rabbit with clock,https://ru.wikipedia.org/wiki/%D0%9B%D0%B5%D1%84%D0%BE%D1%80%D1%82%D0%BE%D0%B2%D0%BE_(%D1%81%D1%82%D0%B0%D0%BD%D1%86%D0%B8%D1%8F),84
Дом ветеранов кино,Дом ветеранов кино,историческое здание,"Можно рассмотреть фрагмент исторической застройки без музейной торжественности. Считается ценной частью городской среды. До ближайшего монумента — «Дача Д. Филиппова», около 2.21 км.",37.47494444,2206,Дача Д. Филиппова,https://ru.wikipedia.org/wiki/%D0%94%D0%BE%D0%BC_%D0%B2%D0%B5%D1%82%D0%B5%D1%80%D0%B0%D0%BD%D0%BE%D0%B2_%D0%BA%D0%B8%D0%BD%D0%BE,84
Оранжерея Дурасова,Оранжерея Дурасова,историческое здание,"Можно рассмотреть фрагмент исторической застройки без музейной торжественности. Есть федеральный охранный статус. До ближайшего монумента — «Ломаковский музей», около 2.18 км.",37.74593263,2176,Ломаковский музей,https://ru.wikipedia.org/wiki/%D0%9E%D1%80%D0%B0%D0%BD%D0%B6%D0%B5%D1%80%D0%B5%D1%8F_%D0%94%D1%83%D1%80%D0%B0%D1%81%D0%BE%D0%B2%D0%B0,84
Храм Успения Пресвятой Богородицы в Архангельском-Тюрикове,Храм Успения Богородицы,исторический храм / монастырь,"Тихая архитектурная точка, заметная в исторической среде района. Есть федеральный охранный статус. До ближайшего монумента — «Славянский музей», около 2.16 км.",37.55495,2157,Славянский музей,https://ru.wikipedia.org/wiki/%D0%A5%D1%80%D0%B0%D0%BC_%D0%A3%D1%81%D0%BF%D0%B5%D0%BD%D0%B8%D1%8F_%D0%9F%D1%80%D0%B5%D1%81%D0%B2%D1%8F%D1%82%D0%BE%D0%B9_%D0%91%D0%BE%D0%B3%D0%BE%D1%80%D0%BE%D0%B4%D0%B8%D1%86%D1%8B_%D0%B2_%D0%90%D1%80%D1%85%D0%B0%D0%BD%D0%B3%D0%B5%D0%BB%D1%8C%D1%81%D0%BA%D0%BE%D0%BC-%D0%A2%D1%8E%D1%80%D0%B8%D0%BA%D0%BE%D0%B2%D0%B5,84
Крылатское,Крылатское,спортивная арена / стадион,"Связано со спортивной жизнью города и крупными событиями района. До ближайшего монумента — «Pier», около 2.13 км.",37.435142,2129,Pier,https://ru.wikipedia.org/wiki/%D0%9A%D1%80%D1%8B%D0%BB%D0%B0%D1%82%D1%81%D0%BA%D0%BE%D0%B5_(%D0%BB%D0%B5%D0%B4%D0%BE%D0%B2%D1%8B%D0%B9_%D0%B4%D0%B2%D0%BE%D1%80%D0%B5%D1%86),84
Клуб Дорожного профсоюза железнодорожников,Клуб Дорожного профсоюза,историческое здание,"Сохраняет память о районной культурной жизни и общественных пространствах. Есть выявленный охранный статус. До ближайшего монумента — «Су-27», около 2.10 км.",37.7351798,2104,Су-27,https://ru.wikipedia.org/wiki/%D0%9A%D0%BB%D1%83%D0%B1_%D0%94%D0%BE%D1%80%D0%BE%D0%B6%D0%BD%D0%BE%D0%B3%D0%BE_%D0%BF%D1%80%D0%BE%D1%84%D1%81%D0%BE%D1%8E%D0%B7%D0%B0_%D0%B6%D0%B5%D0%BB%D0%B5%D0%B7%D0%BD%D0%BE%D0%B4%D0%BE%D1%80%D0%BE%D0%B6%D0%BD%D0%B8%D0%BA%D0%BE%D0%B2,84
Локомотив-Перово,Локомотив-Перово,спортивная арена / стадион,"Связано со спортивной жизнью города и крупными событиями района. До ближайшего монумента — «Музей Вадима Сидура», около 2.10 км.",37.7741,2095,Музей Вадима Сидура,https://ru.wikipedia.org/wiki/%D0%9B%D0%BE%D0%BA%D0%BE%D0%BC%D0%BE%D1%82%D0%B8%D0%B2-%D0%9F%D0%B5%D1%80%D0%BE%D0%B2%D0%BE,84
Храм Святителя Николая в Сабурове,Храм Николая,исторический храм / монастырь,"Тихая архитектурная точка, заметная в исторической среде района. Есть федеральный охранный статус. До ближайшего монумента — «Борисовская плотина», около 2.08 км.",37.700133,2080,Борисовская плотина,https://ru.wikipedia.org/wiki/%D0%A5%D1%80%D0%B0%D0%BC_%D0%A1%D0%B2%D1%8F%D1%82%D0%B8%D1%82%D0%B5%D0%BB%D1%8F_%D0%9D%D0%B8%D0%BA%D0%BE%D0%BB%D0%B0%D1%8F_%D0%B2_%D0%A1%D0%B0%D0%B1%D1%83%D1%80%D0%BE%D0%B2%D0%B5,84
Люблинский парк,Люблинский парк,знаковое городское место,"Место для прогулки и передышки от плотной городской застройки. Есть федеральный охранный статус. До ближайшего монумента — «Ломаковский музей», около 2.03 км.",37.755555555,2027,Ломаковский музей,https://ru.wikipedia.org/wiki/%D0%9B%D1%8E%D0%B1%D0%BB%D0%B8%D0%BD%D1%81%D0%BA%D0%B8%D0%B9_%D0%BF%D0%B0%D1%80%D0%BA,84
Храм иконы Божией Матери «Знамение» в Ховрине,Храм иконы Знамение,исторический храм / монастырь,"Сохранившийся православный храм, памятник архитектуры в Ховрино, Москва. До ближайшего монумента — «Apple garden», около 2.00 км.",37.509267,1998,Apple garden,https://ru.wikipedia.org/wiki/%D0%A5%D1%80%D0%B0%D0%BC_%D0%B8%D0%BA%D0%BE%D0%BD%D1%8B_%D0%91%D0%BE%D0%B6%D0%B8%D0%B5%D0%B9_%D0%9C%D0%B0%D1%82%D0%B5%D1%80%D0%B8_%C2%AB%D0%97%D0%BD%D0%B0%D0%BC%D0%B5%D0%BD%D0%B8%D0%B5%C2%BB_%D0%B2_%D0%A5%D0%BE%D0%B2%D1%80%D0%B8%D0%BD%D0%B5,84
Даниловский мост,Даниловский мост,историческое здание,"Интересно как часть городской инфраструктуры и повседневного движения Москвы. Есть выявленный охранный статус. До ближайшего монумента — «Дом-корабль», около 2.00 км.",37.628852777,1997,Дом-корабль,https://ru.wikipedia.org/wiki/%D0%94%D0%B0%D0%BD%D0%B8%D0%BB%D0%BE%D0%B2%D1%81%D0%BA%D0%B8%D0%B9_%D0%BC%D0%BE%D1%81%D1%82,84
"Динамо (водный стадион, Москва)",Динамо,спортивная арена / стадион,"Связано со спортивной жизнью города и крупными событиями района. До ближайшего монумента — «Речной вокзал», около 2.00 км.",37.48003131,1996,Речной вокзал,"https://ru.wikipedia.org/wiki/%D0%94%D0%B8%D0%BD%D0%B0%D0%BC%D0%BE_(%D0%B2%D0%BE%D0%B4%D0%BD%D1%8B%D0%B9_%D1%81%D1%82%D0%B0%D0%B4%D0%B8%D0%BE%D0%BD,_%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B0)",84
Клуб фабрики «Свобода»,Клуб фабрики Свобода,историческое здание,"Сохраняет память о районной культурной жизни и общественных пространствах. Есть региональный охранный статус. До ближайшего монумента — «Путевой дворец», около 1.99 км.",37.581388888,1993,Путевой дворец,https://ru.wikipedia.org/wiki/%D0%9A%D0%BB%D1%83%D0%B1_%D1%84%D0%B0%D0%B1%D1%80%D0%B8%D0%BA%D0%B8_%C2%AB%D0%A1%D0%B2%D0%BE%D0%B1%D0%BE%D0%B4%D0%B0%C2%BB,84
Крестовский мост,Крестовский мост,историческое здание,"Интересно как часть городской инфраструктуры и повседневного движения Москвы. Считается ценной частью городской среды. До ближайшего монумента — «Еврейский музей», около 1.99 км.",37.635079,1993,Еврейский музей,https://ru.wikipedia.org/wiki/%D0%9A%D1%80%D0%B5%D1%81%D1%82%D0%BE%D0%B2%D1%81%D0%BA%D0%B8%D0%B9_%D0%BC%D0%BE%D1%81%D1%82,84
Храм Казанской иконы Божией Матери в Узком,Храм Казанской иконы,исторический храм / монастырь,"Тихая архитектурная точка, заметная в исторической среде района. Есть федеральный охранный статус. До ближайшего монумента — «Bitsa forest», около 1.99 км.",37.536775,1991,Bitsa forest,https://ru.wikipedia.org/wiki/%D0%A5%D1%80%D0%B0%D0%BC_%D0%9A%D0%B0%D0%B7%D0%B0%D0%BD%D1%81%D0%BA%D0%BE%D0%B9_%D0%B8%D0%BA%D0%BE%D0%BD%D1%8B_%D0%91%D0%BE%D0%B6%D0%B8%D0%B5%D0%B9_%D0%9C%D0%B0%D1%82%D0%B5%D1%80%D0%B8_%D0%B2_%D0%A3%D0%B7%D0%BA%D0%BE%D0%BC,84
Московское суворовское военное училище,Суворовское военное училище,спортивный объект,"Связано со спортивной жизнью города и крупными событиями района. До ближайшего монумента — «Пограничный столб», около 1.99 км.",37.668417,1990,Пограничный столб,https://ru.wikipedia.org/wiki/%D0%9C%D0%BE%D1%81%D0%BA%D0%BE%D0%B2%D1%81%D0%BA%D0%BE%D0%B5_%D1%81%D1%83%D0%B2%D0%BE%D1%80%D0%BE%D0%B2%D1%81%D0%BA%D0%BE%D0%B5_%D0%B2%D0%BE%D0%B5%D0%BD%D0%BD%D0%BE%D0%B5_%D1%83%D1%87%D0%B8%D0%BB%D0%B8%D1%89%D0%B5,84
Перовский дворец,Перовский дворец,усадьба / дворец / особняк,"Не сохранившееся историческое здание. До ближайшего монумента — «Музей Вадима Сидура», около 1.99 км.",37.7752,1987,Музей Вадима Сидура,https://ru.wikipedia.org/wiki/%D0%9F%D0%B5%D1%80%D0%BE%D0%B2%D1%81%D0%BA%D0%B8%D0%B9_%D0%B4%D0%B2%D0%BE%D1%80%D0%B5%D1%86,84
Перовский парк,Перовский парк,знаковое городское место,"Место для прогулки и передышки от плотной городской застройки. Есть охранный статус. До ближайшего монумента — «Музей Вадима Сидура», около 1.99 км.",37.7752,1987,Музей Вадима Сидура,https://ru.wikipedia.org/wiki/%D0%9F%D0%B5%D1%80%D0%BE%D0%B2%D1%81%D0%BA%D0%B8%D0%B9_%D0%BF%D0%B0%D1%80%D0%BA,84
Знаменская церковь в Перово,Церковь в Перово,исторический храм / монастырь,"Сохранившийся православный храм в районе Перово города Москвы. До ближайшего монумента — «Музей Вадима Сидура», около 1.98 км.",37.773036111,1981,Музей Вадима Сидура,https://ru.wikipedia.org/wiki/%D0%97%D0%BD%D0%B0%D0%BC%D0%B5%D0%BD%D1%81%D0%BA%D0%B0%D1%8F_%D1%86%D0%B5%D1%80%D0%BA%D0%BE%D0%B2%D1%8C_%D0%B2_%D0%9F%D0%B5%D1%80%D0%BE%D0%B2%D0%B5,84
Храм Покрова Пресвятой Богородицы в Покровском-Стрешневе,Храм Покрова Богородицы,исторический храм / монастырь,"Тихая архитектурная точка, заметная в исторической среде района. Есть федеральный охранный статус. До ближайшего монумента — «Стадион Спартак», около 1.98 км.",37.4717,1981,Стадион Спартак,https://ru.wikipedia.org/wiki/%D0%A5%D1%80%D0%B0%D0%BC_%D0%9F%D0%BE%D0%BA%D1%80%D0%BE%D0%B2%D0%B0_%D0%9F%D1%80%D0%B5%D1%81%D0%B2%D1%8F%D1%82%D0%BE%D0%B9_%D0%91%D0%BE%D0%B3%D0%BE%D1%80%D0%BE%D0%B4%D0%B8%D1%86%D1%8B_%D0%B2_%D0%9F%D0%BE%D0%BA%D1%80%D0%BE%D0%B2%D1%81%D0%BA%D0%BE%D0%BC-%D0%A1%D1%82%D1%80%D0%B5%D1%88%D0%BD%D0%B5%D0%B2%D0%B5,84
Церковь Николая Чудотворца в Бирюлёве,Церковь Николая Чудотворца,исторический храм / монастырь,"Тихая архитектурная точка, заметная в исторической среде района. Есть выявленный охранный статус. До ближайшего монумента — «Japanese corner», около 1.95 км.",37.65161,1952,Japanese corner,https://ru.wikipedia.org/wiki/%D0%A6%D0%B5%D1%80%D0%BA%D0%BE%D0%B2%D1%8C_%D0%9D%D0%B8%D0%BA%D0%BE%D0%BB%D0%B0%D1%8F_%D0%A7%D1%83%D0%B4%D0%BE%D1%82%D0%B2%D0%BE%D1%80%D1%86%D0%B0_%D0%B2_%D0%91%D0%B8%D1%80%D1%8E%D0%BB%D1%91%D0%B2%D0%B5,84
