score,short_name,name,type_ru,lat,lng,nearest_distance_m,nearest_monument,justification,article,qid,layer
"91","Храм","Храм Троицы Живоначальной в Конькове","исторический храм / монастырь","55.638217","37.519317","2680","Bitsa forest","Храм Троицы Живоначальной в Конькове — храмовый или монастырский объект с архитектурной, исторической и локальной культурной ценностью. Охранный статус: объект культурного наследия России федерального значения. До ближайшего монумента («Bitsa forest») около 2.68 км.","https://ru.wikipedia.org/wiki/%D0%A5%D1%80%D0%B0%D0%BC_%D0%A2%D1%80%D0%BE%D0%B8%D1%86%D1%8B_%D0%96%D0%B8%D0%B2%D0%BE%D0%BD%D0%B0%D1%87%D0%B0%D0%BB%D1%8C%D0%BD%D0%BE%D0%B9_%D0%B2_%D0%9A%D0%BE%D0%BD%D1%8C%D0%BA%D0%BE%D0%B2%D0%B5","Q749676","heritage_building"
"91","Строкинское укрепление","Строкинское укрепление","историческое здание","55.792867","37.835534","2584","Спутник-1","Строкинское укрепление — исторический или архитектурный объект, отмеченный в городском наследии и выделяющийся среди обычной застройки. Охранный статус: исторически ценный градоформирующий (средоформирующий) объект. До ближайшего монумента («Спутник-1») около 2.58 км.","https://ru.wikipedia.org/wiki/%D0%A1%D1%82%D1%80%D0%BE%D0%BA%D0%B8%D0%BD%D1%81%D0%BA%D0%B8%D0%B9_%D0%BA%D0%B8%D1%80%D0%BF%D0%B8%D1%87%D0%BD%D1%8B%D0%B9_%D0%B7%D0%B0%D0%B2%D0%BE%D0%B4","Q16702612","heritage_building"
"91","Крылатское","Крылатское (велотрек)","спортивная арена / стадион","55.763106","37.433041","2551","Pier","Крылатское (велотрек) — спортивная арена или стадион, связанный с соревнованиями, тренировками и городской спортивной жизнью. До ближайшего монумента («Pier») около 2.55 км.","https://ru.wikipedia.org/wiki/%D0%9A%D1%80%D1%8B%D0%BB%D0%B0%D1%82%D1%81%D0%BA%D0%BE%D0%B5_(%D0%B2%D0%B5%D0%BB%D0%BE%D1%82%D1%80%D0%B5%D0%BA)","Q2512593","sports"
"90","Виноградово","Виноградово","усадьба или дворец","55.94154","37.53847","2491","Airship","Виноградово — историческая усадьба, дворец или особняк с выразительной архитектурой и собственной историей места. Охранный статус: объект культурного наследия России федерального значения. До ближайшего монумента («Airship») около 2.49 км.","https://ru.wikipedia.org/wiki/%D0%92%D0%B8%D0%BD%D0%BE%D0%B3%D1%80%D0%B0%D0%B4%D0%BE%D0%B2%D0%BE_(%D1%83%D1%81%D0%B0%D0%B4%D1%8C%D0%B1%D0%B0)","Q16630436","estate_palace"
"90","Люблино","усадьба Люблино","усадьба / дворец / особняк","55.68833","37.74333","2279","Скульптура из дерева","усадьба Люблино — палладианская усадьба в Москве. Охранный статус: объект культурного наследия России федерального значения. До ближайшего монумента («Скульптура из дерева») около 2.28 км.","https://ru.wikipedia.org/wiki/%D0%9B%D1%8E%D0%B1%D0%BB%D0%B8%D0%BD%D0%BE_(%D1%83%D1%81%D0%B0%D0%B4%D1%8C%D0%B1%D0%B0)","Q772903","estate_palace"
"90","Крепостной театр","Крепостной театр Дурасова","театр","55.687777777","37.744722222","2231","Ломаковский музей","Крепостной театр Дурасова — театральная или концертная площадка, заметная культурная точка района. Охранный статус: объект культурного наследия России федерального значения. До ближайшего монумента («Ломаковский музей») около 2.23 км.","https://ru.wikipedia.org/wiki/%D0%9A%D1%80%D0%B5%D0%BF%D0%BE%D1%81%D1%82%D0%BD%D0%BE%D0%B9_%D1%82%D0%B5%D0%B0%D1%82%D1%80_%D0%94%D1%83%D1%80%D0%B0%D1%81%D0%BE%D0%B2%D0%B0","Q4240268","theatre"
"90","Покровское-Стрешнево","Покровское-Стрешнево","усадьба / дворец / особняк","55.81577","37.47152","1949","Стадион Спартак","Покровское-Стрешнево — усадьба на северо-западе Москвы. Охранный статус: объект культурного наследия России федерального значения. До ближайшего монумента («Стадион Спартак») около 1.95 км.","https://ru.wikipedia.org/wiki/%D0%9F%D0%BE%D0%BA%D1%80%D0%BE%D0%B2%D1%81%D0%BA%D0%BE%D0%B5-%D0%A1%D1%82%D1%80%D0%B5%D1%88%D0%BD%D0%B5%D0%B2%D0%BE_(%D1%83%D1%81%D0%B0%D0%B4%D1%8C%D0%B1%D0%B0)","Q3907149","estate_palace"
"90","Грачёвский парк","Грачёвский парк","знаковое городское место","55.866944444","37.506666666","1924","Apple garden","Грачёвский парк — Парк (21,1 га) в Москве. Охранный статус: объект культурного наследия России федерального значения. До ближайшего монумента («Apple garden») около 1.92 км.","https://ru.wikipedia.org/wiki/%D0%93%D1%80%D0%B0%D1%87%D1%91%D0%B2%D1%81%D0%BA%D0%B8%D0%B9_%D0%BF%D0%B0%D1%80%D0%BA","Q4148208","estate_palace"
"90","Филимонки","Филимонки (усадьба)","усадьба / дворец / особняк","55.55446","37.35294","1828","Беседка ""Прибрежная""","Филимонки (усадьба) — историческая усадьба, дворец или особняк с выразительной архитектурой и собственной историей места. Охранный статус: объект культурного наследия России федерального значения. До ближайшего монумента («Беседка ""Прибрежная""») около 1.83 км.","https://ru.wikipedia.org/wiki/%D0%A4%D0%B8%D0%BB%D0%B8%D0%BC%D0%BE%D0%BD%D0%BA%D0%B8_(%D1%83%D1%81%D0%B0%D0%B4%D1%8C%D0%B1%D0%B0)","Q75571891","estate_palace"
"87","Горки-9","Горки-9","усадьба или дворец","55.722635","37.13579","3204","Петрово-Дальнее","Горки-9 — резиденция Президента Российской Федерации. До ближайшего монумента («Петрово-Дальнее») около 3.20 км.","https://ru.wikipedia.org/wiki/%D0%93%D0%BE%D1%80%D0%BA%D0%B8-9","Q4144338","estate_palace"
"87","Новоподрезково","Новоподрезково","необычное здание","55.939722222","37.344166666","3143","Парк имени Величко","Новоподрезково — микрорайон в Молжаниновском районе Северного административного округа Москвы. До ближайшего монумента («Парк имени Величко») около 3.14 км.","https://ru.wikipedia.org/wiki/%D0%9D%D0%BE%D0%B2%D0%BE%D0%BF%D0%BE%D0%B4%D1%80%D0%B5%D0%B7%D0%BA%D0%BE%D0%B2%D0%BE_(%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B0)","Q37898590","skyscraper"
"87","детский музыкально-драматический","Московский детский музыкально-драматический театр «Поколение»","театр","55.71711111","37.78391667","2527","Сухой фонтан","Московский детский музыкально-драматический театр «Поколение» — театральная или концертная площадка, заметная культурная точка района. До ближайшего монумента («Сухой фонтан») около 2.53 км.","https://ru.wikipedia.org/wiki/%D0%9F%D0%BE%D0%BA%D0%BE%D0%BB%D0%B5%D0%BD%D0%B8%D0%B5_(%D1%82%D0%B5%D0%B0%D1%82%D1%80)","Q4304084","theatre"
"84","Церковь","Церковь Николая Чудотворца в Троекурове","исторический храм / монастырь","55.703","37.41125","2446","Дача Д. Филиппова","Церковь Николая Чудотворца в Троекурове — храмовый или монастырский объект с архитектурной, исторической и локальной культурной ценностью. Охранный статус: объект культурного наследия России регионального значения. До ближайшего монумента («Дача Д. Филиппова») около 2.45 км.","https://ru.wikipedia.org/wiki/%D0%A5%D1%80%D0%B0%D0%BC_%D0%9D%D0%B8%D0%BA%D0%BE%D0%BB%D0%B0%D1%8F_%D0%A7%D1%83%D0%B4%D0%BE%D1%82%D0%B2%D0%BE%D1%80%D1%86%D0%B0_%D0%B2_%D0%A2%D1%80%D0%BE%D0%B5%D0%BA%D1%83%D1%80%D0%BE%D0%B2%D0%B5","Q4504830","heritage_building"
"84","Малое Голубино","Малое Голубино","историческое здание","55.60833","37.50833","2391","Шишки","Малое Голубино — исторический или архитектурный объект, отмеченный в городском наследии и выделяющийся среди обычной застройки. Охранный статус: объект культурного наследия России регионального значения. До ближайшего монумента («Шишки») около 2.39 км.","https://ru.wikipedia.org/wiki/%D0%9C%D0%B0%D0%BB%D0%BE%D0%B5_%D0%93%D0%BE%D0%BB%D1%83%D0%B1%D0%B8%D0%BD%D0%BE","Q30879113","heritage_building"
"84","Баскет Холл","Баскет Холл","спортивная арена / стадион","55.75728056","37.44338889","2302","Усадьба Нарышкиных","Баскет Холл — спортивная арена или стадион, связанный с соревнованиями, тренировками и городской спортивной жизнью. До ближайшего монумента («Усадьба Нарышкиных») около 2.30 км.","https://ru.wikipedia.org/wiki/%D0%91%D0%B0%D1%81%D0%BA%D0%B5%D1%82_%D0%A5%D0%BE%D0%BB%D0%BB_%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B0","Q252330","sports"
"84","Крылатское","Крылатское (гребной канал)","спортивный объект","55.754722222","37.437222222","2292","Усадьба Нарышкиных","Крылатское (гребной канал) — исторический или архитектурный объект, отмеченный в городском наследии и выделяющийся среди обычной застройки. До ближайшего монумента («Усадьба Нарышкиных») около 2.29 км.","https://ru.wikipedia.org/wiki/%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B0_(%D0%B3%D1%80%D0%B5%D0%B1%D0%BD%D0%BE%D0%B9_%D0%BA%D0%B0%D0%BD%D0%B0%D0%BB)","Q6915468","sports"
"84","Детский сад","Детский сад № 333","историческое здание","55.804889","37.467172","2253","Стадион Спартак","Детский сад № 333 — исторический или архитектурный объект, отмеченный в городском наследии и выделяющийся среди обычной застройки. Охранный статус: объект культурного наследия России регионального значения. До ближайшего монумента («Стадион Спартак») около 2.25 км.","https://ru.wikipedia.org/wiki/%D0%94%D0%B5%D1%82%D1%81%D0%BA%D0%B8%D0%B9_%D1%81%D0%B0%D0%B4_%E2%84%96_333_(%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B0)","Q107630050","heritage_building"
"84","Хлебозавод №","Хлебозавод № 9","историческое здание","55.806388888","37.584444444","2253","Останкинская башня","Хлебозавод № 9 — Бывший хлебозавод в Бутырском районе Москвы. Охранный статус: объект, обладающий признаками объекта культурного наследия. До ближайшего монумента («Останкинская башня») около 2.25 км.","https://ru.wikipedia.org/wiki/%D0%A5%D0%BB%D0%B5%D0%B1%D0%BE%D0%B7%D0%B0%D0%B2%D0%BE%D0%B4_%E2%84%96_9","Q20730184","heritage_building"
"84","Российский государственный","Российский государственный архив литературы и искусства","историческое здание","55.834072","37.488197","2218","Ерунда","Российский государственный архив литературы и искусства — исторический или архитектурный объект, отмеченный в городском наследии и выделяющийся среди обычной застройки. Охранный статус: объект культурного наследия России федерального значения. До ближайшего монумента («Ерунда») около 2.22 км.","https://ru.wikipedia.org/wiki/%D0%A0%D0%BE%D1%81%D1%81%D0%B8%D0%B9%D1%81%D0%BA%D0%B8%D0%B9_%D0%B3%D0%BE%D1%81%D1%83%D0%B4%D0%B0%D1%80%D1%81%D1%82%D0%B2%D0%B5%D0%BD%D0%BD%D1%8B%D0%B9_%D0%B0%D1%80%D1%85%D0%B8%D0%B2_%D0%BB%D0%B8%D1%82%D0%B5%D1%80%D0%B0%D1%82%D1%83%D1%80%D1%8B_%D0%B8_%D0%B8%D1%81%D0%BA%D1%83%D1%81%D1%81%D1%82%D0%B2%D0%B0","Q2860429","heritage_building"
"84","Лефортово","Лефортово","вокзал / транспортный объект","55.76268","37.74565","2206","Rabbit with clock","Лефортово — станция МКЖД в Москве, Россия. Охранный статус: объект культурного наследия России регионального значения. До ближайшего монумента («Rabbit with clock») около 2.21 км.","https://ru.wikipedia.org/wiki/%D0%9B%D0%B5%D1%84%D0%BE%D1%80%D1%82%D0%BE%D0%B2%D0%BE_(%D1%81%D1%82%D0%B0%D0%BD%D1%86%D0%B8%D1%8F)","Q4260379","heritage_building"
"84","Дом ветеранов","Дом ветеранов кино","историческое здание","55.71594444","37.47494444","2206","Дача Д. Филиппова","Дом ветеранов кино — исторический или архитектурный объект, отмеченный в городском наследии и выделяющийся среди обычной застройки. Охранный статус: исторически ценный градоформирующий (средоформирующий) объект. До ближайшего монумента («Дача Д. Филиппова») около 2.21 км.","https://ru.wikipedia.org/wiki/%D0%94%D0%BE%D0%BC_%D0%B2%D0%B5%D1%82%D0%B5%D1%80%D0%B0%D0%BD%D0%BE%D0%B2_%D0%BA%D0%B8%D0%BD%D0%BE","Q4165467","heritage_building"
"84","Оранжерея Дурасова","Оранжерея Дурасова","историческое здание","55.68781185","37.74593263","2176","Ломаковский музей","Оранжерея Дурасова — исторический или архитектурный объект, отмеченный в городском наследии и выделяющийся среди обычной застройки. Охранный статус: объект культурного наследия России федерального значения. До ближайшего монумента («Ломаковский музей») около 2.18 км.","https://ru.wikipedia.org/wiki/%D0%9E%D1%80%D0%B0%D0%BD%D0%B6%D0%B5%D1%80%D0%B5%D1%8F_%D0%94%D1%83%D1%80%D0%B0%D1%81%D0%BE%D0%B2%D0%B0","Q4335656","heritage_building"
"84","Храм","Храм Успения Пресвятой Богородицы в Архангельском-Тюрикове","исторический храм / монастырь","55.917752777","37.55495","2157","Славянский музей","Храм Успения Пресвятой Богородицы в Архангельском-Тюрикове — храмовый или монастырский объект с архитектурной, исторической и локальной культурной ценностью. Охранный статус: объект культурного наследия России федерального значения. До ближайшего монумента («Славянский музей») около 2.16 км.","https://ru.wikipedia.org/wiki/%D0%A5%D1%80%D0%B0%D0%BC_%D0%A3%D1%81%D0%BF%D0%B5%D0%BD%D0%B8%D1%8F_%D0%9F%D1%80%D0%B5%D1%81%D0%B2%D1%8F%D1%82%D0%BE%D0%B9_%D0%91%D0%BE%D0%B3%D0%BE%D1%80%D0%BE%D0%B4%D0%B8%D1%86%D1%8B_%D0%B2_%D0%90%D1%80%D1%85%D0%B0%D0%BD%D0%B3%D0%B5%D0%BB%D1%8C%D1%81%D0%BA%D0%BE%D0%BC-%D0%A2%D1%8E%D1%80%D0%B8%D0%BA%D0%BE%D0%B2%D0%B5","Q4501075","heritage_building"
"84","Крылатское","Крылатское","спортивная арена / стадион","55.766711","37.435142","2129","Pier","Крылатское — спортивная арена или стадион, связанный с соревнованиями, тренировками и городской спортивной жизнью. До ближайшего монумента («Pier») около 2.13 км.","https://ru.wikipedia.org/wiki/%D0%9A%D1%80%D1%8B%D0%BB%D0%B0%D1%82%D1%81%D0%BA%D0%BE%D0%B5_(%D0%BB%D0%B5%D0%B4%D0%BE%D0%B2%D1%8B%D0%B9_%D0%B4%D0%B2%D0%BE%D1%80%D0%B5%D1%86)","Q2582782","sports"
"84","Клуб Дорожного","Клуб Дорожного профсоюза железнодорожников","историческое здание","55.76079313","37.7351798","2104","Су-27","Клуб Дорожного профсоюза железнодорожников — исторический или архитектурный объект, отмеченный в городском наследии и выделяющийся среди обычной застройки. Охранный статус: выявленный объект культурного наследия России. До ближайшего монумента («Су-27») около 2.10 км.","https://ru.wikipedia.org/wiki/%D0%9A%D0%BB%D1%83%D0%B1_%D0%94%D0%BE%D1%80%D0%BE%D0%B6%D0%BD%D0%BE%D0%B3%D0%BE_%D0%BF%D1%80%D0%BE%D1%84%D1%81%D0%BE%D1%8E%D0%B7%D0%B0_%D0%B6%D0%B5%D0%BB%D0%B5%D0%B7%D0%BD%D0%BE%D0%B4%D0%BE%D1%80%D0%BE%D0%B6%D0%BD%D0%B8%D0%BA%D0%BE%D0%B2","Q29064884","heritage_building"
"84","Локомотив-Перово","Локомотив-Перово","спортивная арена / стадион","55.7407","37.7741","2095","Музей Вадима Сидура","Локомотив-Перово — спортивная арена или стадион, связанный с соревнованиями, тренировками и городской спортивной жизнью. До ближайшего монумента («Музей Вадима Сидура») около 2.10 км.","https://ru.wikipedia.org/wiki/%D0%9B%D0%BE%D0%BA%D0%BE%D0%BC%D0%BE%D1%82%D0%B8%D0%B2-%D0%9F%D0%B5%D1%80%D0%BE%D0%B2%D0%BE","Q4265809","sports"
"84","Храм","Храм Святителя Николая в Сабурове","исторический храм / монастырь","55.639708","37.700133","2080","Борисовская плотина","Храм Святителя Николая в Сабурове — храмовый или монастырский объект с архитектурной, исторической и локальной культурной ценностью. Охранный статус: объект культурного наследия России федерального значения. До ближайшего монумента («Борисовская плотина») около 2.08 км.","https://ru.wikipedia.org/wiki/%D0%A5%D1%80%D0%B0%D0%BC_%D0%A1%D0%B2%D1%8F%D1%82%D0%B8%D1%82%D0%B5%D0%BB%D1%8F_%D0%9D%D0%B8%D0%BA%D0%BE%D0%BB%D0%B0%D1%8F_%D0%B2_%D0%A1%D0%B0%D0%B1%D1%83%D1%80%D0%BE%D0%B2%D0%B5","Q401590","heritage_building"
"84","Люблинский парк","Люблинский парк","знаковое городское место","55.690555555","37.755555555","2027","Ломаковский музей","Люблинский парк — узнаваемое городское место, связанное с прогулками, событиями или повседневной жизнью района. Охранный статус: объект культурного наследия России федерального значения. До ближайшего монумента («Ломаковский музей») около 2.03 км.","https://ru.wikipedia.org/wiki/%D0%9B%D1%8E%D0%B1%D0%BB%D0%B8%D0%BD%D1%81%D0%BA%D0%B8%D0%B9_%D0%BF%D0%B0%D1%80%D0%BA","Q4271704","heritage_building"
"84","Храм","Храм иконы Божией Матери «Знамение» в Ховрине","исторический храм / монастырь","55.864672","37.509267","1998","Apple garden","Храм иконы Божией Матери «Знамение» в Ховрине — православный храм, памятник архитектуры в Ховрино, Москва. Охранный статус: объект культурного наследия России регионального значения. До ближайшего монумента («Apple garden») около 2.00 км.","https://ru.wikipedia.org/wiki/%D0%A5%D1%80%D0%B0%D0%BC_%D0%B8%D0%BA%D0%BE%D0%BD%D1%8B_%D0%91%D0%BE%D0%B6%D0%B8%D0%B5%D0%B9_%D0%9C%D0%B0%D1%82%D0%B5%D1%80%D0%B8_%C2%AB%D0%97%D0%BD%D0%B0%D0%BC%D0%B5%D0%BD%D0%B8%D0%B5%C2%BB_%D0%B2_%D0%A5%D0%BE%D0%B2%D1%80%D0%B8%D0%BD%D0%B5","Q4501140","heritage_building"
"84","Даниловский мост","Даниловский мост","историческое здание","55.691802777","37.628852777","1997","Дом-корабль","Даниловский мост — исторический или архитектурный объект, отмеченный в городском наследии и выделяющийся среди обычной застройки. Охранный статус: выявленный объект культурного наследия России. До ближайшего монумента («Дом-корабль») около 2.00 км.","https://ru.wikipedia.org/wiki/%D0%94%D0%B0%D0%BD%D0%B8%D0%BB%D0%BE%D0%B2%D1%81%D0%BA%D0%B8%D0%B9_%D0%BC%D0%BE%D1%81%D1%82","Q4154771","heritage_building"
"84","Динамо","Динамо (водный стадион, Москва)","спортивная арена / стадион","55.83476489","37.48003131","1996","Речной вокзал","Динамо (водный стадион, Москва) — спортивная арена или стадион, связанный с соревнованиями, тренировками и городской спортивной жизнью. До ближайшего монумента («Речной вокзал») около 2.00 км.","https://ru.wikipedia.org/wiki/%D0%94%D0%B8%D0%BD%D0%B0%D0%BC%D0%BE_(%D0%B2%D0%BE%D0%B4%D0%BD%D1%8B%D0%B9_%D1%81%D1%82%D0%B0%D0%B4%D0%B8%D0%BE%D0%BD,_%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B0)","Q4161821","sports"
"84","Клуб фабрики","Клуб фабрики «Свобода»","историческое здание","55.800555555","37.581388888","1993","Путевой дворец","Клуб фабрики «Свобода» — исторический или архитектурный объект, отмеченный в городском наследии и выделяющийся среди обычной застройки. Охранный статус: объект культурного наследия России регионального значения. До ближайшего монумента («Путевой дворец») около 1.99 км.","https://ru.wikipedia.org/wiki/%D0%9A%D0%BB%D1%83%D0%B1_%D1%84%D0%B0%D0%B1%D1%80%D0%B8%D0%BA%D0%B8_%C2%AB%D0%A1%D0%B2%D0%BE%D0%B1%D0%BE%D0%B4%D0%B0%C2%BB","Q4224195","heritage_building"
"84","Крестовский мост","Крестовский мост","историческое здание","55.797823","37.635079","1993","Еврейский музей","Крестовский мост — исторический или архитектурный объект, отмеченный в городском наследии и выделяющийся среди обычной застройки. Охранный статус: исторически ценный градоформирующий (средоформирующий) объект. До ближайшего монумента («Еврейский музей») около 1.99 км.","https://ru.wikipedia.org/wiki/%D0%9A%D1%80%D0%B5%D1%81%D1%82%D0%BE%D0%B2%D1%81%D0%BA%D0%B8%D0%B9_%D0%BC%D0%BE%D1%81%D1%82","Q4240423","heritage_building"
"84","Храм","Храм Казанской иконы Божией Матери в Узком","исторический храм / монастырь","55.621592","37.536775","1991","Bitsa forest","Храм Казанской иконы Божией Матери в Узком — храмовый или монастырский объект с архитектурной, исторической и локальной культурной ценностью. Охранный статус: объект культурного наследия России федерального значения. До ближайшего монумента («Bitsa forest») около 1.99 км.","https://ru.wikipedia.org/wiki/%D0%A5%D1%80%D0%B0%D0%BC_%D0%9A%D0%B0%D0%B7%D0%B0%D0%BD%D1%81%D0%BA%D0%BE%D0%B9_%D0%B8%D0%BA%D0%BE%D0%BD%D1%8B_%D0%91%D0%BE%D0%B6%D0%B8%D0%B5%D0%B9_%D0%9C%D0%B0%D1%82%D0%B5%D1%80%D0%B8_%D0%B2_%D0%A3%D0%B7%D0%BA%D0%BE%D0%BC","Q4500822","heritage_building"
